"FIRST-BOOK-DATE","03/27/2025"
"BME","D5","","05/26/2025","06/02/2025","123","RQ"
"BME","DSANDS","","05/26/2025","06/02/2025","135","RQ"
"BME","JFG","","05/26/2025","06/02/2025","92","RQ"
"BNE","D5","","05/26/2025","06/02/2025","77","RQ"
"BNE","DSANDS","","05/26/2025","06/02/2025","122","RQ"
"BNE","JFG","","05/26/2025","06/02/2025","24","RQ"
"CNS","D5","","05/26/2025","06/02/2025","77","RQ"
"CNS","DSANDS","","05/26/2025","06/02/2025","122","RQ"
"CNS","JFG","","05/26/2025","06/02/2025","21","RQ"
"DWN","D5","","05/26/2025","06/02/2025","77","RQ"
"DWN","DSANDS","","05/26/2025","06/02/2025","123","RQ"
"DWN","JFG","","05/26/2025","06/02/2025","56","RQ"
"EXM","D5","","05/26/2025","06/02/2025","98","RQ"
"EXM","DSANDS","","05/26/2025","06/02/2025","135","RQ"
"EXM","JFG","","05/26/2025","06/02/2025","92","RQ"
"HBA","JFG","","05/26/2025","06/02/2025","32","RQ"
"MEL","D5","","05/26/2025","06/02/2025","77","RQ"
"MEL","DSANDS","","05/26/2025","06/02/2025","122","RQ"
"MEL","JFG","","05/26/2025","06/02/2025","36","RQ"
"PER","D5","","05/26/2025","06/02/2025","77","RQ"
"PER","DSANDS","","05/26/2025","06/02/2025","123","RQ"
"PER","JFG","","05/26/2025","06/02/2025","45","RQ"
"SYD","D5","","05/26/2025","06/02/2025","77","RQ"
"SYD","DSANDS","","05/26/2025","06/02/2025","122","RQ"
"SYD","JFG","","05/26/2025","06/02/2025","23","RQ"
"ADL","D5","","06/02/2025","06/09/2025","77","RQ"
"ADL","DSANDS","","06/02/2025","06/09/2025","127","RQ"
"ADL","JFG","","06/02/2025","06/09/2025","24","RQ"
"ASP","D5","","06/02/2025","06/09/2025","77","RQ"
"ASP","DSANDS","","06/02/2025","06/09/2025","122","RQ"
"ASP","JFG","","06/02/2025","06/09/2025","54","RQ"
"BME","D5","","06/02/2025","06/09/2025","123","RQ"
"BME","DSANDS","","06/02/2025","06/09/2025","135","RQ"
"BME","JFG","","06/02/2025","06/09/2025","92","RQ"
"BNE","D5","","06/02/2025","06/09/2025","77","RQ"
"BNE","DSANDS","","06/02/2025","06/09/2025","122","RQ"
"BNE","JFG","","06/02/2025","06/09/2025","24","RQ"
"CNS","D5","","06/02/2025","06/09/2025","77","RQ"
"CNS","DSANDS","","06/02/2025","06/09/2025","122","RQ"
"CNS","JFG","","06/02/2025","06/09/2025","22","RQ"
"DWN","D5","","06/02/2025","06/09/2025","77","RQ"
"DWN","DSANDS","","06/02/2025","06/09/2025","123","RQ"
"DWN","JFG","","06/02/2025","06/09/2025","55","RQ"
"EXM","D5","","06/02/2025","06/09/2025","98","RQ"
"EXM","DSANDS","","06/02/2025","06/09/2025","135","RQ"
"EXM","JFG","","06/02/2025","06/09/2025","92","RQ"
"HBA","JFG","","06/02/2025","06/09/2025","32","RQ"
"MEL","D5","","06/02/2025","06/09/2025","77","RQ"
"MEL","DSANDS","","06/02/2025","06/09/2025","122","RQ"
"MEL","JFG","","06/02/2025","06/09/2025","34","RQ"
"PER","D5","","06/02/2025","06/09/2025","77","RQ"
"PER","DSANDS","","06/02/2025","06/09/2025","123","RQ"
"PER","JFG","","06/02/2025","06/09/2025","45","RQ"
"SYD","D5","","06/02/2025","06/09/2025","77","RQ"
"SYD","DSANDS","","06/02/2025","06/09/2025","122","RQ"
"SYD","JFG","","06/02/2025","06/09/2025","23","RQ"
"ADL","D5","","06/09/2025","06/16/2025","77","RQ"
"ADL","DSANDS","","06/09/2025","06/16/2025","127","RQ"
"ADL","JFG","","06/09/2025","06/16/2025","24","RQ"
"ASP","D5","","06/09/2025","06/16/2025","77","RQ"
"ASP","DSANDS","","06/09/2025","06/16/2025","123","RQ"
"ASP","JFG","","06/09/2025","06/16/2025","54","RQ"
"BME","D5","","06/09/2025","06/16/2025","123","RQ"
"BME","DSANDS","","06/09/2025","06/16/2025","135","RQ"
"BME","JFG","","06/09/2025","06/16/2025","94","RQ"
"BNE","D5","","06/09/2025","06/16/2025","77","RQ"
"BNE","DSANDS","","06/09/2025","06/16/2025","123","RQ"
"BNE","JFG","","06/09/2025","06/16/2025","25","RQ"
"CNS","D5","","06/09/2025","06/16/2025","77","RQ"
"CNS","DSANDS","","06/09/2025","06/16/2025","123","RQ"
"CNS","JFG","","06/09/2025","06/16/2025","22","RQ"
"DWN","D5","","06/09/2025","06/16/2025","77","RQ"
"DWN","DSANDS","","06/09/2025","06/16/2025","124","RQ"
"DWN","JFG","","06/09/2025","06/16/2025","55","RQ"
"EXM","D5","","06/09/2025","06/16/2025","99","RQ"
"EXM","DSANDS","","06/09/2025","06/16/2025","135","RQ"
